Designator,Mid X,Mid Y,Rotation,Layer
C1,125.4,-47.353125,0.0,top
C11,188.3,-45.228125,90.0,top
C12,118.8,-47.953125,180.0,top
C13,118.8,-46.443125,180.0,top
C14,137.35,-32.003125,0.0,top
C15,162.8,-36.503125,180.0,top
C16,162.8,-39.353125,180.0,top
C2,122.4,-47.853125,0.0,top
C3,115.525,-51.053125,0.0,top
C4,162.8,-35.003125,180.0,top
C5,158.675,-42.953125,180.0,top
C6,166.675,-43.353125,0.0,top
C7,158.675,-41.453125,180.0,top
C8,162.8,-40.853125,180.0,top
C9,137.175,-60.353125,0.0,top
D1,190.5,-69.203125,90.0,top
D13,133.35,-88.253125,90.0,top
D14,133.35,-107.303125,90.0,top
D15,133.35,-126.353125,90.0,top
D16,152.4,-88.253125,90.0,top
D17,152.4,-107.303125,90.0,top
D18,152.4,-126.353125,90.0,top
D19,171.45,-88.253125,90.0,top
D20,171.45,-107.303125,90.0,top
D21,171.45,-126.353125,90.0,top
D22,190.5,-88.253125,90.0,top
D23,190.5,-107.303125,90.0,top
D24,190.5,-126.353125,90.0,top
IC1,138.27125,-55.800625,90.0,top
J5,178.525,-32.540625,180.0,bottom
JUSB1,152.4,-33.128125,180.0,top
L1,121.55,-46.353125,0.0,top
R1,149.825,-38.703125,180.0,top
R10,118.525,-49.553125,0.0,top
R11,118.525,-51.053125,180.0,top
R13,139.0,-48.203125,90.0,top
R14,137.45,-48.203125,90.0,top
R15,158.675,-44.453125,0.0,top
R2,155.0,-38.703125,0.0,top
R3,158.675,-45.953125,0.0,top
R4,137.35,-33.503125,0.0,top
R5,115.525,-49.553125,0.0,top
R6,166.675,-44.853125,180.0,top
SW1,169.025,-31.533125,180.0,top
SW4,138.275,-35.953125,90.0,top
U2,149.825,-41.253125,0.0,top
U4,162.6025,-43.753125,0.0,top
U6,119.25,-37.303125,0.0,top
X1,115.3,-46.653125,0.0,top
