Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2, C4, C5, C8",0603,6,10uF,
"C11, C12, C14, C15, C16, C3, C6, C7, C9",0603,9,0.1uF,
"D1, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24",Diode_SOD-123,13,Diode,C81598
IC1,SOIC127P600X175-8N,1,AS5600-ASOT,C79815
JUSB1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,C165948
L1,L_TDK_MLZ1608,1,"10 µH, ≥ 80 mA",
"R1, R2",0603,2,5.1k,
R10,0603,1,330k,
R11,0603,1,1M,
"R13, R14",0603,2,4.7k,
R15,0603,1,1k,
R3,0603,1,2k,
"R4, R5",0603,2,10k,
R6,0603,1,240k,
SW1,SW_SPDT_PCM12,1,POWER-SWITCH,
SW4,SW_SPST_B3U-1000P,1,RESET,C720477
U2,ESD_SOT-23-6,1,USBLC6-2SC6,C2827654
U4,SON40P200X200X80-11N,1,BQ24040DSQR,
U6,Raytac_MDBT50Q,1,MDBT50Q-1MV2,
X1,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
